,Newsletter Title,Description,url,Topic Tags
0,LivAgeWell,Livagewell is an integrative health and wellness platform by Dr. Mani Kukreja,https://livagewell.net,Medicine
1,The Kable,Your daily capsule of essential life sciences news.,https://thekable.news/,Medicine
2,Hospitalogy,Actually interesting news & analysis on the Business of Healthcare,https://workweek.com/discover-newsletters/hospitalogy/,Medicine
3,Codon,"A newsletter on CRISPR, genetic engineering & the future of humanity.",https://www.codonmag.com/,Medicine
4,Dr.  Anshul Gupta MD,"Tips to reclaim your health from Chronic Illnesses, through Functional Medicine.",https://www.anshulguptamd.com/,Medicine
5,Jardinee,Essential Oils Herbal Magazine,https://www.jardinee.com/,Medicine
6,Missing Key To Thyroid Health,"Holistic Thyroid advice to get mental clarity, unlimited energy and weight loss.",https://landing.mailerlite.com/webforms/landing/s5r0b7,Medicine
7,Rooted in Science,A weekly 3-minute evidence-based guide to a holistic health topic,https://www.welltheory.com/,Medicine
8,The Conversation: Science Editors' Picks,"Weekly selection of stories in science, health, environment and technology",https://theconversation.com/us/newsletters/science-editors-picks-71/,Medicine
9,Synapse,For people curious about the brain,https://claytonmansel.substack.com/,Medicine
10,PT Crab,"We find, summarize, and send the best PT research to you every week.",https://ptcrab.org,Medicine
11,The Healthy Muse,Healthcare news the easy way,https://thehealthymuse.com/,Medicine
12,The Imaging Wire,We make it easy to be smart about medical imaging news.,https://theimagingwire.com,Medicine
13,Peter Attia,"Strategies and tactics for increasing your lifespan, healthspan, and well-being",https://peterattiamd.com/newsletter/,Medicine
14,Medical Notes,Digital health in your inbox,https://medicalnotes.co,Medicine
15,Prostate Cancer Secrets,A physician with prostate cancer shares an insider's view of a broken system.,https://keithrholdenmd.substack.com/,Medicine
